cod,cod_description,id_provincia,provincia_descripcion
1156,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1157,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1158,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1159,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1160,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1161,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1162,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1163,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1164,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1165,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1166,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1167,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1168,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1169,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1170,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1171,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1172,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1173,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1174,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1175,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1176,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1177,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1178,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1179,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1180,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1181,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1182,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1183,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1184,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1185,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1186,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1187,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1188,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1189,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1190,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1191,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1192,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1193,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1194,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1195,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1196,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1197,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1198,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1199,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1200,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1201,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1202,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1203,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1204,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1205,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1206,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1207,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1208,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1209,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1210,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1211,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1212,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1213,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1214,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1215,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1216,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1217,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1218,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1219,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1220,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1221,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1222,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1223,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1224,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1225,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1226,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
